id,col1,col2,col3,col4,col5,labels
14072,0,0,0,0,0,0
13693,0,0,0,1,3,0
7546,0,0,0,1,0,0
33164,0,3,1,1,1,1
33063,0,0,0,1,0,1
7985,0,0,0,0,0,0
29123,0,0,0,1,2,1
22317,0,0,0,0,0,0
19557,0,0,0,1,0,0
40365,0,0,1,1,0,1
26943,0,0,0,1,0,0
38762,0,2,1,1,0,1
29111,0,3,1,1,0,1
49112,0,0,0,1,0,1
31386,1,3,0,1,0,1
15153,0,3,1,1,0,0
39904,0,1,0,1,0,1
16793,1,0,0,1,0,0
24646,0,0,0,1,0,0
18119,0,0,0,1,0,0
30648,0,0,0,1,0,1
7853,0,0,0,1,2,0
26789,0,0,0,1,0,0
36758,0,1,0,1,0,1
53008,0,0,0,1,0,1
31650,1,0,0,1,0,1
39780,0,0,0,0,0,1
18102,0,0,0,1,2,0
13373,0,0,1,0,0,0
52539,0,0,0,1,0,1
33544,0,3,1,1,2,1
12140,0,1,0,1,0,0
16829,0,0,0,1,2,0
15733,0,0,0,0,0,0
7822,0,0,0,0,0,0
28222,0,1,0,1,0,1
33381,0,0,0,1,2,1
13513,0,0,0,0,0,0
22442,0,0,1,1,0,0
36270,0,0,0,1,0,1
39386,0,0,0,1,0,1
47710,1,2,1,1,2,1
43411,0,0,1,1,0,1
12359,0,0,0,1,0,0
20924,1,0,0,1,2,0
39984,0,0,0,1,0,1
45013,0,3,1,1,2,1
10965,0,0,0,1,0,0
17460,0,0,0,0,0,0
33405,0,0,1,1,2,1
23,0,2,1,1,2,0
27933,0,0,0,1,0,1
2126,0,0,1,1,0,0
36580,0,0,0,1,2,1
6047,0,0,0,0,0,0
45542,1,2,1,1,0,1
11620,0,0,0,1,2,0
13803,0,0,0,0,0,0
21358,0,0,0,1,0,0
34347,0,2,0,1,0,1
27543,0,0,1,1,0,1
51361,0,1,0,1,2,1
22325,0,0,0,1,0,0
6947,0,3,1,1,0,0
7746,0,0,0,0,0,0
11513,0,0,0,0,0,0
4573,0,0,0,0,0,0
36063,0,0,0,1,2,1
33802,0,3,0,1,0,1
39312,0,0,1,1,0,1
747,0,0,0,0,0,0
9842,0,0,0,1,0,0
47921,0,0,1,1,0,1
49858,0,2,1,1,2,1
13862,0,0,0,0,0,0
39744,0,0,0,1,0,1
45923,0,0,1,1,2,1
2658,0,0,0,1,0,0
28731,0,0,0,0,0,1
35038,0,3,0,1,0,1
10904,0,0,0,1,0,0
8024,0,0,0,0,0,0
50274,1,2,0,1,2,1
43028,0,0,0,1,0,1
53938,0,0,1,1,0,1
11274,0,3,0,1,0,0
51640,0,0,0,1,0,1
40423,0,0,1,1,2,1
27832,0,0,0,0,0,1
20055,0,3,1,1,0,0
50465,0,1,0,1,0,1
22888,0,0,1,1,2,0
20643,0,0,0,1,0,0
37334,0,1,0,1,2,1
19137,0,0,0,1,0,0
2951,0,0,0,0,0,0
5287,0,0,0,1,0,0
21877,0,0,0,0,0,0
7060,1,0,0,1,0,0
42489,0,0,0,1,0,1
25718,0,0,0,0,0,0
44480,0,0,1,1,0,1
35499,0,0,0,1,0,1
24607,0,0,0,1,0,0
24326,0,0,0,1,0,0
38020,0,0,0,1,2,1
26437,0,0,0,1,0,0
6225,0,0,1,1,0,0
45421,0,3,0,1,2,1
25373,0,0,1,0,0,0
35602,0,0,0,0,0,1
49020,0,0,0,1,2,1
15173,0,0,0,1,0,0
15033,0,0,0,1,0,0
13450,0,0,0,0,0,0
14510,0,0,0,1,0,0
608,0,0,0,0,0,0
8662,0,0,0,1,0,0
8097,0,0,0,0,0,0
37003,0,3,0,1,0,1
40306,0,0,0,0,0,1
12771,0,0,0,0,0,0
46513,0,0,0,1,0,1
8822,0,0,0,1,0,0
28801,0,0,1,1,0,1
16869,1,3,1,1,2,0
16495,0,1,1,1,2,0
22873,0,0,0,1,0,0
20333,0,1,1,0,0,0
21325,0,0,0,1,0,0
30132,0,3,1,1,2,1
52185,0,3,0,1,0,1
41412,0,0,0,1,2,1
29340,0,0,0,1,0,1
7362,0,0,0,0,0,0
39505,0,0,0,1,0,1
29769,0,0,0,1,1,1
12728,0,0,0,1,1,0
31654,0,3,1,1,0,1
38060,0,1,1,1,0,1
45882,0,0,0,1,2,1
25829,0,0,0,0,0,0
872,0,0,1,1,0,0
39517,0,0,0,1,0,1
42086,0,2,0,1,0,1
6725,0,0,0,1,0,0
38523,0,2,0,0,0,1
33500,0,3,0,1,2,1
7540,0,0,0,0,2,0
34943,0,0,0,1,0,1
1166,0,3,1,1,0,0
51322,0,0,0,1,0,1
768,0,0,1,1,2,0
45688,1,0,1,1,0,1
866,0,0,0,1,0,0
37208,0,0,0,0,0,1
16571,0,0,0,0,0,0
90,0,1,0,0,0,0
4767,0,0,0,1,0,0
12798,0,0,0,0,0,0
34315,0,0,0,1,2,1
22142,0,0,0,1,0,0
35482,0,0,0,1,2,1
12320,0,0,0,1,0,0
17337,0,0,0,1,2,0
20447,0,0,0,1,0,0
22455,0,3,1,0,0,0
17464,0,0,0,0,0,0
12091,0,0,0,1,0,0
51838,0,0,0,1,2,1
23464,0,0,0,1,0,0
1060,0,0,0,1,2,0
2634,0,0,0,1,0,0
31379,0,0,0,1,0,1
21602,0,0,0,0,0,0
5106,0,2,0,0,0,0
415,0,0,0,0,0,0
26932,1,0,0,1,0,0
14676,0,0,0,0,0,0
4397,0,0,0,0,0,0
52427,0,0,0,1,0,1
30785,0,0,0,0,0,1
7683,0,0,0,1,2,0
13411,0,0,0,1,0,0
45712,0,0,0,1,0,1
38055,0,2,1,1,2,1
3211,0,1,0,1,0,0
18981,0,0,0,1,0,0
41052,0,0,1,1,0,1
37350,0,0,0,1,0,1
23657,0,0,0,0,0,0
163,0,0,0,1,1,0
44276,1,1,1,1,2,1
47439,0,0,0,1,0,1
50615,0,3,0,1,0,1
2211,0,0,0,1,2,0
6958,0,0,0,0,0,0
54291,0,0,0,1,0,1
32640,0,0,0,1,0,1
44507,1,0,1,1,0,1
12480,0,0,0,0,0,0
53157,0,0,0,1,0,1
6736,0,0,0,1,0,0
11378,0,0,0,0,0,0
20993,0,0,0,0,0,0
51151,0,0,1,1,2,1
26448,0,0,0,1,0,0
32922,1,0,0,1,0,1
47150,1,3,1,1,2,1
23135,0,0,0,1,0,0
49005,0,0,0,1,0,1
45788,0,0,0,1,0,1
40555,0,0,0,1,0,1
47955,0,0,0,1,0,1
17915,0,0,0,0,0,0
19665,0,0,0,1,0,0
47125,0,2,1,1,0,1
2171,0,0,0,0,0,0
4541,0,0,0,1,0,0
7907,0,0,0,0,1,0
38491,0,0,0,1,0,1
51767,0,2,1,1,2,1
43016,0,0,1,1,2,1
34047,0,1,1,1,2,1
34167,0,0,1,1,0,1
21869,0,0,0,1,0,0
32318,0,0,0,1,0,1
45829,0,0,0,1,0,1
36014,0,1,0,1,2,1
46661,0,0,0,1,0,1
14809,0,1,0,1,0,0
50215,1,0,1,1,0,1
45981,0,0,0,1,2,1
110,0,0,0,0,0,0
32570,0,0,0,0,0,1
31142,0,0,0,1,0,1
10879,0,0,0,1,0,0
17933,0,0,0,1,0,0
31242,1,3,1,1,0,1
5099,0,0,0,0,0,0
47268,1,0,0,1,0,1
52679,0,0,0,1,0,1
2256,0,2,1,1,0,0
23909,0,0,0,1,0,0
51698,0,1,0,1,0,1
32155,1,1,0,1,2,1
15999,0,1,0,0,0,0
48300,0,3,1,1,0,1
22743,0,0,0,0,0,0
12741,0,0,1,1,0,0
50363,0,0,0,1,0,1
11226,0,0,0,1,0,0
51859,0,0,0,1,0,1
21261,0,1,0,0,0,0
30737,0,0,0,0,0,1
30441,0,0,1,1,0,1
2816,0,0,0,1,0,0
45456,0,0,1,1,2,1
52671,0,0,0,1,0,1
46637,0,3,0,0,2,1
21695,0,0,1,1,0,0
173,0,0,0,1,0,0
325,0,0,0,0,0,0
17682,0,0,0,0,0,0
5802,0,0,0,0,0,0
22482,0,0,0,1,0,0
6118,0,0,0,0,0,0
47819,0,1,0,1,2,1
2583,0,2,1,1,2,0
20181,0,0,0,0,0,0
24672,0,3,1,1,0,0
14296,0,0,0,1,3,0
50450,0,2,1,1,2,1
8451,0,0,0,0,0,0
17957,0,0,0,1,0,0
13089,0,0,0,1,2,0
40577,0,3,1,1,2,1
19089,0,0,0,1,0,0
20032,0,3,1,1,2,0
43439,1,0,0,1,0,1
24233,0,0,0,0,0,0
8578,0,0,0,0,0,0
12234,0,0,0,1,0,0
49377,0,0,1,1,2,1
34709,0,0,0,1,0,1
20526,0,0,0,1,0,0
3462,0,0,0,1,2,0
10475,0,3,1,1,0,0
34010,1,0,0,1,0,1
42917,0,0,0,1,0,1
22811,0,0,1,0,0,0
24415,0,0,0,1,0,0
45810,0,0,0,1,0,1
34408,0,0,0,1,2,1
10517,0,0,0,0,0,0
40901,0,0,0,1,0,1
20866,0,0,0,0,0,0
21561,0,1,0,0,0,0
54506,0,0,1,1,0,1
7035,0,0,0,0,0,0
3010,0,0,0,1,1,0
28056,0,0,0,1,0,1
31439,0,0,0,1,2,1
36226,0,1,0,1,0,1
12870,0,0,1,1,0,0
33166,0,0,0,0,2,1
23835,0,0,0,1,0,0
16709,0,0,0,0,0,0
47289,0,0,0,1,2,1
21131,0,0,0,1,0,0
42812,0,2,0,1,2,1
2870,0,0,0,1,0,0
25825,0,0,0,1,0,0
15681,0,0,0,1,0,0
33503,0,0,0,1,0,1
10921,0,1,0,0,0,0
18388,0,0,0,0,0,0
16254,0,0,0,0,0,0
23446,0,0,0,1,0,0
18488,0,0,0,1,1,0
28797,0,3,1,1,2,1
13540,0,0,1,1,0,0
35256,0,0,0,1,0,1
53424,0,0,0,1,0,1
41175,0,3,1,1,2,1
51858,0,0,0,0,0,1
20011,0,0,0,0,0,0
19591,0,0,0,1,0,0
6030,0,0,0,1,0,0
19632,0,0,0,1,2,0
15077,0,0,0,0,0,0
6215,0,0,0,1,0,0
11915,0,0,0,1,0,0
27212,0,0,0,1,0,0
17179,0,0,0,0,0,0
36286,0,0,0,1,2,1
21083,0,0,0,0,0,0
13728,0,0,1,1,0,0
46423,0,1,1,1,1,1
35245,0,0,0,1,2,1
14817,1,3,0,1,0,0
43504,0,0,1,1,2,1
27538,0,0,0,1,0,1
38464,0,3,0,1,0,1
17254,0,1,0,1,0,0
39954,0,0,0,1,0,1
38852,0,0,0,1,0,1
33262,0,0,1,1,0,1
49830,0,0,0,1,0,1
51309,0,0,0,1,0,1
31943,0,0,0,1,2,1
35240,0,0,0,1,0,1
5763,0,0,1,1,1,0
47179,0,0,0,1,2,1
39731,0,3,0,1,1,1
52038,0,1,0,0,2,1
28786,1,3,1,1,2,1
30981,0,3,1,1,0,1
31278,0,3,0,1,0,1
20848,0,0,0,0,1,0
24272,0,0,0,1,0,0
49600,0,0,0,1,0,1
31155,0,2,1,1,0,1
40534,0,2,0,1,0,1
35556,0,0,0,1,2,1
4198,0,0,0,0,0,0
22558,0,0,0,0,0,0
33600,0,0,0,1,0,1
17690,1,0,1,1,0,0
38760,0,0,0,1,0,1
32450,0,2,1,1,2,1
10909,0,0,0,0,0,0
14461,0,0,0,0,0,0
5231,0,0,0,1,0,0
38000,0,0,0,1,2,1
37527,0,0,0,1,2,1
35018,0,1,0,0,0,1
4550,0,0,0,0,0,0
25370,0,0,0,0,0,0
29914,1,0,1,0,0,1
51870,0,0,0,1,0,1
22385,0,0,0,1,0,0
15280,1,0,0,1,0,0
14796,0,0,0,0,0,0
32897,0,0,0,1,0,1
52598,1,0,1,1,2,1
10878,0,0,0,1,0,0
7820,0,0,0,1,0,0
46115,0,0,0,1,0,1
1208,1,0,0,1,0,0
33025,0,0,0,1,0,1
48371,1,3,1,0,0,1
25267,0,1,0,1,0,0
47532,0,1,1,1,2,1
49183,0,0,0,1,0,1
19657,0,0,0,0,0,0
36335,0,2,1,1,0,1
23931,0,0,0,1,0,0
19260,0,0,0,0,0,0
30337,0,0,0,1,2,1
16241,0,0,1,1,0,0
40747,0,0,0,1,0,1
17086,0,0,0,1,2,0
31741,0,0,0,1,2,1
7331,1,2,1,1,1,0
31578,0,0,0,0,0,1
32216,1,0,1,1,2,1
12761,0,0,0,1,0,0
6565,0,0,0,0,2,0
4167,0,0,0,1,0,0
6183,0,0,0,1,2,0
39801,0,0,1,1,0,1
35597,0,0,0,1,2,1
5480,0,0,0,1,0,0
20697,0,2,0,1,0,0
14419,0,0,0,1,0,0
19677,0,0,1,1,0,0
27038,0,0,0,0,0,0
29964,1,0,0,1,0,1
44324,0,0,0,1,0,1
15197,0,0,0,1,0,0
21785,0,0,0,0,0,0
1419,0,0,0,0,0,0
44805,0,3,1,1,0,1
47100,0,1,1,1,2,1
3733,0,0,0,1,0,0
10469,0,0,0,0,0,0
19418,0,0,0,0,0,0
40096,0,0,0,1,0,1
17288,0,0,0,1,0,0
26801,0,0,1,1,0,0
54419,0,3,1,1,2,1
13613,1,0,0,1,0,0
49017,0,0,0,1,0,1
17409,0,0,0,0,0,0
10481,0,0,0,1,0,0
5308,0,0,0,0,0,0
35182,0,3,1,1,0,1
42623,0,2,0,1,0,1
36249,1,0,1,1,0,1
30029,0,0,0,1,0,1
12084,0,0,0,1,0,0
51264,0,0,1,1,0,1
42628,0,3,1,1,2,1
53861,0,0,0,1,2,1
42635,1,3,1,1,2,1
371,0,0,0,0,0,0
51090,1,3,1,1,2,1
52638,1,0,0,1,1,1
45167,0,0,0,0,0,1
51585,0,0,0,1,2,1
6435,0,0,0,0,0,0
35284,0,0,0,1,0,1
9943,0,0,0,0,0,0
48761,0,3,1,1,0,1
19343,0,1,1,1,0,0
42982,0,3,1,1,0,1
18886,0,0,0,1,0,0
18151,0,0,0,0,3,0
4263,0,0,1,1,2,0
26086,0,2,1,1,0,0
50041,0,3,0,1,2,1
27718,0,0,0,1,0,1
6252,0,1,0,1,0,0
34842,0,0,0,1,0,1
13306,0,0,0,0,0,0
1644,0,0,0,0,0,0
4584,0,0,0,1,3,0
38569,0,0,0,1,0,1
30242,0,0,0,1,2,1
30150,1,2,1,1,2,1
53836,0,0,0,1,0,1
22178,0,2,1,1,0,0
34230,1,2,1,1,2,1
35159,0,0,0,1,2,1
24070,0,0,0,0,0,0
2412,0,0,0,1,0,0
22961,0,0,0,0,0,0
28977,1,2,1,1,2,1
39490,0,0,0,1,0,1
32002,0,2,1,1,2,1
38845,0,3,0,0,0,1
12529,0,0,1,1,0,0
51194,0,3,1,1,1,1
36494,0,3,1,1,0,1
42219,0,1,0,1,2,1
28297,0,0,0,1,2,1
52971,1,3,1,1,0,1
35750,0,1,0,1,0,1
40978,0,2,0,1,2,1
18159,0,0,0,1,0,0
37675,1,3,1,1,0,1
42380,0,0,0,1,2,1
1308,0,0,0,0,0,0
21330,0,0,0,1,0,0
8388,0,0,0,1,0,0
28973,1,0,0,1,0,1
44803,0,0,0,1,0,1
17809,0,0,0,1,0,0
15079,0,0,0,1,0,0
47364,1,0,1,1,2,1
13255,0,0,0,0,0,0
5536,0,0,0,0,0,0
39407,0,0,0,1,2,1
2715,0,0,0,1,0,0
42111,0,2,1,1,2,1
52775,0,0,0,1,0,1
30911,1,0,0,1,0,1
43803,0,0,0,1,0,1
34914,0,3,1,0,0,1
3334,0,0,0,0,0,0
1887,0,0,0,1,0,0
14374,0,0,0,1,0,0
7700,0,0,0,1,0,0
38923,0,0,0,1,0,1
46370,0,1,1,1,2,1
25520,0,0,0,0,0,0
16569,0,0,0,1,0,0
50604,1,0,1,1,0,1
33238,1,0,1,1,0,1
21222,0,0,0,1,0,0
50581,0,0,0,1,0,1
52586,0,0,0,1,0,1
50027,0,0,0,1,2,1
7802,0,0,0,1,0,0
32494,0,1,0,1,0,1
4024,0,0,0,1,0,0
7720,0,0,0,1,0,0
18838,0,0,0,0,0,0
34460,0,3,0,1,0,1
28164,0,0,0,1,0,1
47722,0,0,0,1,0,1
4872,0,0,0,1,0,0
50696,0,0,0,1,0,1
25374,0,0,0,1,2,0
43499,0,0,0,1,0,1
52263,0,0,0,1,0,1
12180,0,0,0,1,0,0
27084,0,0,0,1,0,0
47777,1,0,0,1,2,1
20466,1,1,1,1,0,0
50223,0,3,1,1,2,1
14975,0,0,0,0,0,0
20332,0,0,0,0,3,0
22675,0,0,0,1,0,0
6605,0,0,0,0,0,0
20915,0,3,1,0,0,0
29077,0,0,0,1,2,1
53268,0,0,0,1,0,1
50875,0,0,0,1,0,1
40368,0,0,0,1,0,1
40822,0,0,0,1,2,1
8667,0,0,0,1,2,0
25667,0,0,0,0,0,0
34859,0,0,0,1,0,1
31766,0,0,1,1,2,1
17104,0,0,1,1,1,0
29014,0,0,0,1,0,1
34286,0,0,0,1,0,1
21520,0,0,0,1,2,0
34129,0,0,0,1,2,1
9064,0,0,0,1,0,0
27496,1,3,1,1,0,1
18544,0,0,0,1,0,0
12694,0,0,0,1,0,0
34445,0,3,0,1,0,1
52562,0,0,0,0,0,1
42275,0,3,1,0,0,1
41084,0,0,1,1,1,1
48707,0,0,0,1,0,1
15678,0,0,0,1,0,0
52267,0,0,0,1,0,1
5542,0,0,0,0,0,0
53243,0,1,1,1,2,1
13294,0,0,0,0,0,0
37683,0,0,1,1,2,1
11372,0,0,0,1,0,0
32395,0,0,0,1,2,1
23949,0,0,0,1,2,0
18155,0,1,1,1,0,0
30636,0,0,0,1,0,1
49164,1,0,0,1,2,1
42892,0,0,0,0,0,1
19276,0,0,0,1,0,0
38481,0,3,1,1,0,1
54342,0,0,0,1,0,1
36641,0,0,0,1,0,1
16629,0,0,0,1,2,0
28292,0,1,1,1,2,1
2716,0,0,0,1,0,0
24303,0,0,0,1,0,0
39112,0,0,0,1,0,1
39847,0,2,0,1,0,1
42588,1,0,0,1,0,1
52135,0,3,0,1,0,1
18474,0,0,0,0,0,0
5155,0,0,0,0,0,0
41892,0,0,0,1,0,1
15962,0,3,0,0,2,0
10600,0,0,1,1,0,0
40366,0,0,0,1,0,1
52607,0,0,0,1,2,1
848,0,0,0,1,0,0
50698,0,0,0,1,0,1
4196,0,0,0,1,0,0
2650,0,0,0,1,1,0
43555,0,0,0,1,0,1
30664,0,0,0,1,0,1
1294,0,0,0,1,0,0
5330,0,0,0,1,0,0
53801,0,0,0,1,2,1
27248,0,1,0,1,0,0
20077,0,0,0,1,1,0
44493,0,0,0,0,0,1
8803,0,0,0,0,0,0
42233,1,3,1,1,2,1
19221,0,0,0,1,0,0
31934,0,3,1,1,1,1
25003,0,0,0,0,0,0
18753,0,0,0,0,0,0
48399,0,0,0,1,0,1
39099,0,2,1,0,0,1
44095,0,0,0,1,0,1
41479,0,3,1,1,2,1
37300,0,3,0,1,0,1
11396,0,0,0,0,0,0
41579,1,0,1,0,0,1
15315,0,0,0,1,0,0
46806,0,2,1,1,2,1
35844,0,0,0,1,0,1
47877,0,2,0,1,0,1
4384,0,0,0,1,0,0
44723,0,0,1,1,0,1
9370,0,0,0,0,0,0
50561,0,0,1,1,0,1
8698,0,0,0,1,0,0
45011,0,0,0,1,0,1
16729,0,0,0,1,0,0
47231,0,3,1,1,0,1
43340,0,3,1,1,0,1
17659,0,0,0,0,0,0
17170,0,0,0,1,0,0
3534,0,1,0,1,0,0
34342,1,0,1,1,2,1
15755,0,0,0,0,0,0
44228,0,0,0,1,0,1
46779,1,0,0,1,0,1
1321,0,0,0,0,0,0
40928,1,1,1,1,0,1
33552,0,0,0,1,0,1
43959,0,0,0,1,0,1
12504,0,0,0,0,0,0
29481,0,0,0,1,0,1
29634,0,0,1,1,0,1
25517,0,0,0,1,0,0
26633,0,2,0,0,0,0
22534,0,0,0,1,0,0
41266,0,3,1,1,0,1
16002,0,0,0,0,0,0
44315,0,2,1,1,0,1
34066,0,1,1,0,0,1
45639,0,3,0,1,1,1
16760,0,3,1,0,2,0
38171,0,0,0,0,0,1
19936,0,0,0,0,2,0
31129,0,3,1,1,0,1
31396,0,3,1,1,0,1
5284,0,0,0,0,0,0
40871,0,0,1,1,2,1
34022,0,1,1,1,0,1
13182,0,3,1,1,2,0
21547,0,0,0,0,0,0
10737,0,0,0,1,0,0
3686,0,0,0,1,0,0
21030,0,0,0,0,0,0
6765,0,0,0,0,0,0
47450,0,2,1,0,2,1
36082,0,1,0,1,0,1
10852,0,1,0,0,0,0
2606,0,3,0,1,2,0
24280,0,0,1,0,0,0
32959,0,0,0,1,2,1
6996,0,0,0,1,0,0
15494,0,0,0,0,0,0
17047,0,0,0,1,0,0
22498,0,0,0,1,0,0
42026,0,0,0,1,0,1
30829,1,0,0,1,2,1
1539,0,0,1,1,0,0
17281,0,0,0,0,0,0
50914,1,3,1,1,2,1
46275,1,1,0,1,2,1
10444,0,0,0,1,2,0
30668,0,0,0,1,0,1
23118,0,0,0,0,0,0
24395,0,1,1,1,0,0
21669,0,0,0,1,0,0
51826,0,0,0,1,0,1
51647,0,0,0,1,2,1
12362,0,0,0,1,0,0
8073,0,0,0,0,0,0
15375,0,0,0,0,0,0
27245,0,2,1,1,0,0
18596,0,0,0,1,2,0
16588,0,0,0,1,0,0
12171,0,0,0,1,0,0
11449,0,0,0,0,0,0
4832,0,0,0,1,0,0
1444,0,0,0,0,0,0
47270,0,0,0,1,0,1
703,0,3,1,0,0,0
14225,1,1,1,1,0,0
46843,0,2,0,1,0,1
24787,0,0,0,0,0,0
52746,0,0,0,1,0,1
44143,0,3,1,1,2,1
22759,0,0,0,1,0,0
20178,0,0,1,1,0,0
53069,0,0,0,1,0,1
6054,0,0,0,1,0,0
520,0,3,1,1,0,0
51195,0,0,1,1,0,1
7154,0,0,0,1,0,0
50439,0,0,0,1,2,1
35146,0,0,0,1,2,1
30832,0,0,0,0,0,1
35825,0,2,0,1,0,1
53565,1,1,0,1,2,1
5905,0,0,0,1,0,0
50701,0,0,0,1,0,1
31355,0,0,1,1,0,1
12175,0,0,0,1,0,0
28927,0,2,1,1,2,1
48634,1,0,0,1,0,1
20355,0,2,0,1,0,0
577,0,0,0,1,0,0
29214,0,0,0,1,2,1
35980,1,0,1,1,2,1
11851,0,0,0,1,0,0
2705,0,0,0,0,0,0
33240,1,2,1,1,0,1
27570,0,0,1,1,2,1
7378,0,0,0,1,0,0
39608,0,0,0,1,0,1
19287,0,0,0,1,0,0
7730,0,0,0,1,2,0
24016,0,0,0,1,1,0
31528,0,0,1,1,2,1
20215,0,0,1,1,0,0
36574,0,0,0,1,2,1
33154,0,0,1,1,0,1
29383,0,2,1,1,2,1
34352,0,0,0,1,0,1
24606,0,0,0,0,0,0
13594,0,0,0,0,0,0
28538,0,0,0,1,0,1
50633,0,0,1,1,0,1
21643,0,0,0,0,0,0
4620,0,0,0,0,0,0
52430,0,2,0,1,0,1
27874,1,1,1,1,0,1
42209,0,0,0,1,0,1
38469,0,0,0,1,0,1
31954,0,2,0,1,0,1
35812,0,0,0,1,0,1
47507,0,0,0,1,0,1
48269,0,0,0,1,0,1
2890,0,0,0,1,0,0
106,0,0,0,0,0,0
31554,1,3,1,1,2,1
29515,0,3,1,1,0,1
18342,0,0,0,1,0,0
17467,0,0,0,0,0,0
13652,1,0,0,1,0,0
7088,0,3,1,1,0,0
38466,0,0,0,0,0,1
22830,0,0,0,0,0,0
19661,0,2,0,0,0,0
3646,0,0,0,1,2,0
30053,0,1,0,0,2,1
28384,0,0,0,0,0,1
47426,0,1,0,1,0,1
3969,0,0,0,1,0,0
45115,0,0,1,1,2,1
14236,0,0,0,1,0,0
6574,0,0,0,1,2,0
11663,0,1,1,1,2,0
9497,0,0,0,0,0,0
1822,0,2,0,0,0,0
19437,0,0,0,1,0,0
37198,0,0,0,0,2,1
49751,1,3,1,1,0,1
45598,0,3,0,1,0,1
14367,0,0,0,0,0,0
40099,0,0,0,1,0,1
32732,0,0,0,1,0,1
34489,1,0,1,1,2,1
20562,0,0,0,0,0,0
43231,1,3,1,1,2,1
36399,0,0,0,1,0,1
5268,0,3,0,1,0,0
9811,0,3,1,0,0,0
27861,0,3,0,1,2,1
1756,0,0,0,0,0,0
33954,0,3,1,1,0,1
45681,1,0,0,1,0,1
43570,0,0,1,1,0,1
29903,1,0,0,1,0,1
12056,0,0,0,1,0,0
27327,0,0,0,0,0,0
23712,0,0,0,1,0,0
44337,0,3,1,1,2,1
248,0,0,0,1,0,0
30651,0,0,1,1,0,1
47842,0,0,0,0,0,1
18530,0,0,0,0,2,0
29229,0,2,1,1,2,1
22858,0,0,0,1,0,0
38130,1,1,0,1,0,1
22057,0,1,0,0,0,0
48266,0,1,0,1,2,1
53567,0,2,0,1,2,1
31779,1,0,0,1,0,1
9213,0,0,0,0,0,0
52718,0,0,0,1,0,1
48091,0,0,0,1,0,1
36851,0,2,1,1,0,1
18720,0,0,0,1,0,0
39376,0,0,1,0,1,1
12546,0,0,0,1,0,0
2856,0,0,0,1,0,0
9462,0,0,0,0,0,0
53841,0,2,1,1,2,1
6075,0,0,0,1,0,0
36061,0,3,0,0,0,1
35385,0,0,0,1,1,1
28013,0,0,0,1,0,1
52219,1,0,0,1,0,1
33001,1,0,0,1,0,1
27163,0,0,0,1,0,0
40746,1,0,0,1,0,1
25233,0,0,1,1,0,0
11529,0,0,0,1,0,0
48377,0,0,0,1,0,1
29372,0,0,1,1,0,1
50566,0,3,1,1,0,1
2868,0,0,1,1,0,0
2415,0,0,0,1,0,0
2282,0,0,0,0,0,0
13814,0,0,0,1,0,0
52022,0,0,0,1,1,1
31955,0,0,1,1,0,1
28999,0,0,0,1,0,1
5593,0,0,0,1,0,0
